Fabricante,Data,Codigo,Produto,Qtd
DAIKIN,13/10/2025,5268,Cond. DT RZAQ24BVL - Mini SkyAir - Daikin ,30
DAIKIN,13/10/2025,5268,Cond. DT RZAQ24BVL - Mini SkyAir - Daikin ,6
DAIKIN,13/10/2025,5174,Evap. FTHP18S5VL EcoSwing Smart Gold R-32  18 Quente - Daikin,36
DAIKIN,13/10/2025,5175,Cond. RHP18S5VL EcoSwing Smart Gold R-32  18 Quente - Daikin,36
DAIKIN,13/10/2025,5529,Evap. HW24  CTXS24PMVM  - Daikin,50
DAIKIN,13/10/2025,5261,Evap. K71v FKQA18A5VL - Mini SkyAir - Daikin,15
DAIKIN,13/10/2025,5262,Cond. K71v RZAQ18BVL - Mini SkyAir - Daikin ,15
DAIKIN,13/10/2025,5240,Evap K7 FCQ30AVL Sky Air - QF - Daikin,40
DAIKIN,13/10/2025,5244,Evap K7 FCQ42AVL Sky Air - QF - Daikin,5
DAIKIN,13/10/2025,5246,Evap K7 FCQ48AVL Sky Air - QF - Daikin,30
DAIKIN,13/10/2025,5261,Evap. K71v FKQA18A5VL - Mini SkyAir - Daikin,30
DAIKIN,13/10/2025,5262,Cond. K71v RZAQ18BVL - Mini SkyAir - Daikin ,30
DAIKIN,13/10/2025,5241,Cond K7 RZQ30AVL Sky Air - QF - Daikin,40
DAIKIN,13/10/2025,5245,Cond K7 RZQ42AVL Sky Air - QF - Daikin,5
DAIKIN,13/10/2025,5247,Cond K7 RZQ48AVL Sky Air - QF - Daikin,30
DAIKIN,14/10/2025,5513,Cond. 2MXC18RMVM p/ R32- MULTI - Q/F - Daikin,63
DAIKIN,14/10/2025,5530,Evap. HW09  CTXC09RMVM p/ R32 - Daikin,160
DAIKIN,14/10/2025,5514,Cond. 3MKC18S5VL p/ R32 - MULTI - Frio - Daikin,100
DAIKIN,14/10/2025,5502,Cond. 4MXS28PMVM - MULTI - Q/F - Daikin,37
DAIKIN,14/10/2025,5160,Evap. FTKC24T5VL Full Inverter R-32  24 Frio - Daikin,14
DAIKIN,14/10/2025,5161,Cond. RKC24T5VL Full Inverter R-32  24 Frio - Daikin,14
DAIKIN,14/10/2025,5527,Evap. HW18  CTXS18PMVM - Daikin,50
DAIKIN,14/10/2025,5529,Evap. HW24  CTXS24PMVM  - Daikin,50
DAIKIN,14/10/2025,5500,Cond. 3MXS18PMVM - MULTI - Q/F - Daikin,9
DAIKIN,14/10/2025,5512,Cond. 2MXS18PMVM - MULTI - Q/F - Daikin,44
DAIKIN,14/10/2025,5500,Cond. 3MXS18PMVM - MULTI - Q/F - Daikin,29
DAIKIN,14/10/2025,5501,Cond. 3MXS24PMVM - MULTI - Q/F - Daikin,22
DAIKIN,14/10/2025,5501,Cond. 3MXS24PMVM - MULTI - Q/F - Daikin,2
DAIKIN,14/10/2025,5508,Cond. 4MXS34PMVM - MULTI - Q/F - Daikin,34
DAIKIN,14/10/2025,5527,Evap. HW18  CTXS18PMVM - Daikin,50

